index,items,freq
1211,"on,what,be",4451
1212,"why,the,be",4451
1213,"its,be",4444
1214,"best,what,to,the,be",4437
1215,"but,of,the",4435
1216,"what,and,of,the",4433
1217,"one,and",4428
1218,"how,a,to",4426
1219,"their,of,the",4425
1220,company,4424
1221,"that,for,be",4422
1222,"i,do,be",4421
1223,"but,to,be",4421
1224,"or,and,the",4421
1225,"you,what,the",4420
1226,"'s,and,to,the",4417
1227,difference,4415
1228,"by,and,to,the",4414
1229,"also,and",4414
1230,"with,and,of,be",4414
1231,"there,to",4412
1232,"two,the",4412
1233,"between,what,and,be",4411
1234,"do,of,be",4410
1235,"which,and,of",4409
1236,"who,in,the",4408
1237,book,4408
1238,"an,in,of",4399
1239,"with,on",4398
1240,"how,a,in",4397
1241,"you,of",4395
1242,"how,do,and",4380
1243,"after,of",4380
1244,call,4378
1245,"one,a",4374
1246,"with,to,in,the",4370
1247,"best,which,be",4369
1248,"most,in",4365
1249,war,4363
1250,"have,to,of,the,be",4363
1251,"have,and,a,of",4362
1252,"your,what,be",4361
1253,"have,and,to,of",4360
1254,"how,to,the",4357
1255,"an,what",4351
1256,"with,have,the",4351
1257,"'s,it",4349
1258,"should,to",4349
1259,"that,have,to",4348
1260,"as,have,the",4345
1261,"which,for,be",4341
1262,"from,and,to,the",4339
1263,"at,in,of",4338
1264,"such,as",4338
1265,"as,and,in,of",4337
1266,"for,in,of,the,be",4334
1267,"my,a",4334
1268,"from,in,the,be",4333
1269,"or,of,the,be",4333
1270,"this,to,the",4330
1271,"city,the",4329
1272,"it,do,to",4326
1273,"as,and,in,be",4325
1274,"also,of",4317
1275,"over,the",4317
1276,"best,for,the,be",4312
1277,"'s,a,the,be",4310
1278,"what,a,of,be",4306
1279,"it,and,to,the",4303
1280,"by,to,in",4301
1281,"include,and",4301
1282,live,4297
1283,"from,have",4295
1284,"state,the,be",4292
1285,"it,and,of,the",4292
1286,"as,to,of,be",4289
1287,"its,and",4284
1288,"between,what,the,be",4284
1289,"'s,to,in,the",4279
1290,"or,and,be",4276
1291,"i,in,the",4274
1292,"use,to,be",4273
1293,"at,a,of",4270
1294,"into,be",4268
1295,"most,of,the",4268
1296,"as,in,of,the,be",4265
1297,"i,how,the",4265
1298,"say,and",4261
1299,"it,to,of,be",4261
1300,"by,a,to",4258
1301,"have,in,of,the,be",4255
1302,"at,and,the,be",4254
1303,"do,what,a",4249
1304,"their,and,the",4249
1305,"some,and",4247
1306,"people,do",4244
1307,"from,in,of,the",4239
1308,"use,to,the",4237
1309,"on,a,in,the",4234
1310,"not,of,be",4234
1311,"have,and,to,the,be",4233
1312,"by,in,of,the,be",4229
1313,"i,what,to",4222
1314,"time,of",4222
1315,"an,and,of",4221
1316,"that,and,to,the,be",4217
1317,"as,with",4208
1318,"why,a",4208
1319,"other,of",4208
1320,"about,what",4207
1321,"this,in,the",4205
1322,"you,have",4201
1323,"my,what",4200
1324,before,4200
1325,"by,and,in,be",4198
1326,"it,for,to",4192
1327,"all,of",4190
1328,"what,a,in,be",4189
1329,"this,and,the",4188
1330,"there,to,be",4182
1331,"many,be",4179
1332,"if,in",4179
1333,"which,in,of,the",4179
1334,"as,and,a,of",4178
1335,"what,and,in,be",4172
1336,"time,to",4170
1337,"he,of,the",4170
1338,"or,for",4170
1339,"where,the",4157
1340,"not,and,be",4155
1341,"when,do",4153
1342,"that,have,a",4152
1343,"at,and,of,the",4151
1344,"at,in,the,be",4146
1345,"it,do,be",4146
1346,"my,in",4144
1347,"and,a,to,in,of,the",4143
1348,"state,in,the",4142
1349,"out,the",4140
1350,these,4139
1351,"for,and,in,of",4138
1352,"which,and,in",4135
1353,"for,and,in,the,be",4134
1354,"that,have,of",4130
1355,"'s,for,the",4129
1356,"their,the,be",4127
1357,"way,to,be",4126
1358,"this,to,be",4122
1359,without,4120
1360,"by,a,of,be",4118
1361,"have,what,be",4117
1362,"i,a,the",4116
1363,"make,of",4116
1364,"as,a,to,be",4115
1365,"state,and",4115
1366,"on,and,of,be",4111
1367,"on,to,in,the",4110
1368,"not,a,be",4110
1369,"from,and,a",4108
1370,"for,what,a",4107
1371,"it,a,to,the",4106
1372,"difference,between",4104
1373,"difference,and",4104
1374,"world,be",4102
1375,"for,a,of,the,be",4100
1376,"one,of,be",4098
1377,"india,in,be",4089
1378,"good,a",4087
1379,"i,do,the",4085
1380,"my,the",4085
1381,"who,in,be",4084
1382,"between,what,and,the,be",4082
1383,"will,to",4082
1384,"as,and,to,be",4081
1385,"not,and,the",4081
1386,change,4078
1387,"have,a,to,of",4077
1388,"i,what,be",4075
1389,"have,and,a,to",4075
1390,"and,a,to,in,the,be",4074
1391,"can,i,to",4071
1392,"their,to,the",4069
1393,"as,for,the",4066
1394,"what,to,in,the",4064
1395,"if,and",4062
1396,"there,of",4060
1397,"from,a,the,be",4057
1398,job,4054
1399,"i,to,in",4052
1400,"when,and",4049
1401,"say,of",4049
1402,"become,the",4046
1403,"first,the,be",4046
1404,"work,the",4045
1405,"for,to,of,the,be",4045
1406,"such,the",4044
1407,"that,and,to,of",4044
1408,"by,and,a,the",4043
1409,"an,to,in",4041
1410,"that,on,the",4040
1411,"get,can",4039
1412,"with,a,of,be",4038
1413,"way,to,the",4037
1414,"that,have,and",4036
1415,"for,and,a,of",4034
1416,"go,to",4033
1417,"it,to,in,the",4033
1418,"as,and,a,be",4032
1419,"do,a,of",4028
1420,"i,and,to",4026
1421,"have,and,in,the,be",4025
1422,quora,4023
1423,"for,a,to,the,be",4020
1424,"who,of,be",4019
1425,"as,a,of,the,be",4018
1426,"some,to,be",4015
1427,"it,what,to",4015
1428,"have,a,of,the,be",4009
1429,"can,to,be",4008
1430,"an,to,of",4008
1431,"or,do",4008
1432,"my,and",4007
1433,"that,and,in,the,be",4006
1434,"'s,with",4005
1435,"from,a,in",4004
1436,"with,it",4002
